QUARTER,GDPDFT,UNRATE,FEDFUNDS
1960Q1,1.6,5.133333333333334,3.9333333333333336
1960Q2,1.0,5.233333333333333,3.6966666666666668
1960Q3,1.4,5.533333333333334,2.936666666666667
1960Q4,1.2,6.266666666666666,2.296666666666667
1961Q1,0.9,6.8,2.0033333333333334
1961Q2,0.9,7.0,1.7333333333333334
1961Q3,1.0,6.766666666666667,1.6833333333333333
1961Q4,1.3,6.2,2.4
1962Q1,2.1,5.633333333333333,2.4566666666666666
1962Q2,0.7,5.533333333333334,2.606666666666667
1962Q3,0.8,5.566666666666666,2.8466666666666662
1962Q4,0.8,5.533333333333334,2.9233333333333333
1963Q1,1.7,5.766666666666667,2.966666666666667
1963Q2,0.7,5.733333333333333,2.9633333333333334
1963Q3,0.5,5.5,3.33
1963Q4,3.3,5.566666666666666,3.453333333333333
1964Q1,1.3,5.466666666666666,3.4633333333333334
1964Q2,0.9,5.2,3.49
1964Q3,1.6,5.0,3.456666666666667
1964Q4,1.8,4.966666666666666,3.5766666666666667
1965Q1,2.0,4.8999999999999995,3.9766666666666666
1965Q2,1.9,4.666666666666667,4.079999999999999
1965Q3,1.6,4.366666666666667,4.076666666666667
1965Q4,2.8,4.1000000000000005,4.166666666666667
1966Q1,2.6,3.8666666666666667,4.56
1966Q2,3.3,3.8333333333333335,4.913333333333333
1966Q3,3.9,3.766666666666667,5.41
1966Q4,3.4,3.6999999999999997,5.5633333333333335
1967Q1,1.7,3.8333333333333335,4.823333333333333
1967Q2,2.0,3.8333333333333335,3.9899999999999998
1967Q3,3.9,3.7999999999999994,3.893333333333333
1967Q4,4.5,3.9,4.173333333333333
1968Q1,4.5,3.733333333333333,4.79
1968Q2,4.3,3.5666666666666664,5.983333333333333
1968Q3,4.0,3.533333333333333,5.946666666666666
1968Q4,5.8,3.4,5.916666666666667
1969Q1,4.2,3.4,6.566666666666666
1969Q2,5.2,3.4333333333333336,8.326666666666666
1969Q3,5.8,3.5666666666666664,8.983333333333333
1969Q4,5.3,3.5666666666666664,8.94
1970Q1,5.8,4.166666666666667,8.573333333333332
1970Q2,5.7,4.766666666666667,7.886666666666667
1970Q3,3.3,5.166666666666667,6.706666666666667
1970Q4,5.4,5.833333333333333,5.566666666666666
1971Q1,6.2,5.933333333333334,3.856666666666667
1971Q2,5.4,5.900000000000001,4.566666666666666
1971Q3,4.1,6.033333333333334,5.476666666666667
1971Q4,3.4,5.933333333333334,4.75
1972Q1,6.2,5.766666666666667,3.546666666666667
1972Q2,2.5,5.7,4.3
1972Q3,3.9,5.566666666666666,4.743333333333333
1972Q4,5.2,5.366666666666667,5.1466666666666665
1973Q1,4.7,4.933333333333334,6.536666666666666
1973Q2,6.3,4.933333333333334,7.816666666666666
1973Q3,8.0,4.8,10.56
1973Q4,8.2,4.766666666666667,9.996666666666666
1974Q1,7.8,5.133333333333333,9.323333333333332
1974Q2,9.8,5.2,11.25
1974Q3,12.3,5.633333333333333,12.089999999999998
1974Q4,12.3,6.6000000000000005,9.346666666666666
1975Q1,9.4,8.266666666666666,6.303333333333334
1975Q2,6.1,8.866666666666667,5.419999999999999
1975Q3,7.2,8.466666666666667,6.16
1975Q4,6.9,8.299999999999999,5.413333333333334
1976Q1,4.3,7.733333333333333,4.826666666666667
1976Q2,4.1,7.566666666666666,5.196666666666666
1976Q3,5.3,7.733333333333333,5.283333333333333
1976Q4,7.4,7.766666666666667,4.873333333333334
1977Q1,6.6,7.5,4.66
1977Q2,5.8,7.133333333333333,5.156666666666666
1977Q3,5.0,6.8999999999999995,5.82
1977Q4,8.9,6.666666666666667,6.513333333333333
1978Q1,5.9,6.333333333333333,6.756666666666667
1978Q2,7.9,6.0,7.283333333333334
1978Q3,7.0,6.033333333333334,8.1
1978Q4,8.4,5.8999999999999995,9.583333333333334
1979Q1,7.5,5.866666666666667,10.073333333333332
1979Q2,10.2,5.7,10.18
1979Q3,9.0,5.866666666666667,10.946666666666667
1979Q4,7.6,5.966666666666666,13.576666666666666
1980Q1,8.7,6.3,15.046666666666667
1980Q2,9.9,7.333333333333333,12.686666666666667
1980Q3,9.2,7.666666666666667,9.836666666666666
1980Q4,10.8,7.3999999999999995,15.853333333333333
1981Q1,11.0,7.433333333333334,16.569999999999997
1981Q2,8.2,7.3999999999999995,17.78
1981Q3,7.7,7.3999999999999995,17.576666666666664
1981Q4,7.1,8.233333333333334,13.586666666666666
1982Q1,5.6,8.833333333333334,14.226666666666667
1982Q2,5.3,9.433333333333334,14.513333333333334
1982Q3,5.8,9.9,11.006666666666666
1982Q4,4.2,10.666666666666666,9.286666666666667
1983Q1,3.1,10.366666666666667,8.653333333333334
1983Q2,3.0,10.133333333333333,8.803333333333335
1983Q3,4.3,9.366666666666667,9.459999999999999
1983Q4,3.1,8.533333333333333,9.43
1984Q1,4.1,7.866666666666667,9.686666666666667
1984Q2,3.5,7.433333333333334,10.556666666666667
1984Q3,3.6,7.433333333333334,11.39
1984Q4,3.0,7.3,9.266666666666667
1985Q1,4.0,7.233333333333333,8.476666666666667
1985Q2,2.6,7.3,7.923333333333333
1985Q3,2.4,7.2,7.8999999999999995
1985Q4,2.3,7.033333333333334,8.103333333333333
1986Q1,2.0,7.033333333333334,7.826666666666667
1986Q2,1.5,7.166666666666667,6.919999999999999
1986Q3,1.6,6.966666666666666,6.206666666666666
1986Q4,2.2,6.833333333333333,6.266666666666667
1987Q1,2.6,6.599999999999999,6.22
1987Q2,2.8,6.266666666666667,6.6499999999999995
1987Q3,3.1,6.0,6.843333333333334
1987Q4,3.2,5.833333333333333,6.916666666666667
1988Q1,3.2,5.7,6.663333333333334
1988Q2,3.9,5.466666666666666,7.156666666666666
1988Q3,4.9,5.466666666666666,7.983333333333333
1988Q4,3.5,5.333333333333333,8.47
1989Q1,4.2,5.2,9.443333333333333
1989Q2,4.3,5.233333333333333,9.726666666666667
1989Q3,3.0,5.233333333333333,9.083333333333334
